Category,Subcategory,Region,State,Date,Product Name,Product ID,Sales,Profit,Discount,Size,Available Quantity,Sold Quantity,Color
Clothes,Shorts,South,Georgia,2023-10-22,Clothes Shorts,6881,167.13,37.69,28.94,M,675,857,Gray
Clothes,Shirts,East,California,2023-07-15,Clothes Shirts,1816,105.38,11.84,19.5,XL,604,1008,Red
Shoes,Running Shoes,North,Georgia,2022-03-26,Shoes Running Shoes,9666,154.98,44.95,30.11,L,659,839,Black
Accessories,Belts,East,Pennsylvania,2022-02-09,Accessories Belts,4339,495.7,130.23,81.7,M,650,1004,Orange
Accessories,Necklaces,North,New York,2022-05-26,Accessories Necklaces,7801,143.43,16.7,25.46,M,536,841,Yellow
Shoes,Running Shoes,South,California,2022-12-13,Shoes Running Shoes,1529,155.04,34.79,29.1,S,603,871,Orange
Clothes,Jeans,South,Ohio,2022-02-19,Clothes Jeans,1378,468.73,87.49,78.47,M,684,943,Black
Accessories,Ties,West,New York,2022-09-01,Accessories Ties,9263,18.44,2.48,0.99,M,664,823,Pink
Clothes,Leggings,East,Georgia,2023-03-23,Clothes Leggings,7237,268.39,41.01,51.27,M,694,999,Gray
Shoes,Golf Shoes,West,New York,2023-03-20,Shoes Golf Shoes,2574,455.46,73.62,50.27,M,546,1100,Red
Shoes,Sandals,West,North Carolina,2022-03-08,Shoes Sandals,6329,57.38,6.67,11.29,S,591,875,Blue
Shoes,Boots,South,North Carolina,2022-04-26,Shoes Boots,7120,311.73,87.31,36.04,L,548,878,Pink
Accessories,Ties,West,Texas,2022-01-15,Accessories Ties,5859,485.93,49.64,39.74,M,565,1088,Red
Accessories,Watches,East,New York,2023-05-31,Accessories Watches,9680,256.77,44.45,47.71,M,550,984,White
Accessories,Sunglasses,South,Pennsylvania,2023-07-06,Accessories Sunglasses,1074,468.3,120.46,25.34,M,548,992,Orange
Clothes,Coats,South,Pennsylvania,2022-10-21,Clothes Coats,5643,274.56,58.94,40.38,XL,547,862,Green
Clothes,Trousers,South,North Carolina,2022-04-19,Clothes Trousers,3450,175.46,30.56,33.99,XL,525,1079,Pink
Accessories,Wallets,South,Michigan,2023-03-17,Accessories Wallets,8020,296.46,32.96,51.46,S,582,964,Orange
Shoes,Slippers,East,Pennsylvania,2023-10-14,Shoes Slippers,4676,467.24,89.94,70.79,S,522,1036,Red
Shoes,Heels,North,Pennsylvania,2022-10-25,Shoes Heels,4835,178.11,48.63,32.43,XL,693,1052,Black
Clothes,Jeans,East,Pennsylvania,2022-10-15,Clothes Jeans,6491,398.03,74.78,26.86,L,683,1088,Yellow
Clothes,Dresses,North,Georgia,2022-04-20,Clothes Dresses,9953,188.14,40.91,22.39,S,598,1002,Red
Accessories,Necklaces,North,North Carolina,2023-01-25,Accessories Necklaces,7665,452.58,87.9,61.73,S,651,950,White
Shoes,Heels,East,Illinois,2022-12-14,Shoes Heels,8963,359.55,39.54,61.13,S,633,1022,Gray
Shoes,Heels,South,North Carolina,2022-01-22,Shoes Heels,3602,307.57,72.33,36.68,L,608,1080,Red
Accessories,Sunglasses,South,Florida,2022-04-08,Accessories Sunglasses,4489,341.09,75.26,34.21,S,699,808,Green
